track_uri,date,date_prec,id,gems,gems_profile,gems_profile_no_rescaling,genre,microgenre,lfm_id
6ayaWMVlsyvtoO5CzafBiX,2016-09-30,day,9vNxBzsSJR0JPQcz,['nostalgia'],{'nostalgia': 1.0},{'nostalgia': 50.0},pop,ballad,
3ycNF8wSAx28UJLEMvWm5s,2014-08-04,day,dYLw7rD0qlz9Q3oP,"['wonder', 'transcendence', 'sadness']","{'wonder': 0.3333333333333333, 'transcendence': 0.3333333333333333, 'sadness': 0.3333333333333333}","{'wonder': 34.0, 'transcendence': 34.0, 'sadness': 34.0}",pop,ballad,
3HAf2DbkugamZxwOqFo1bn,2016-02-26,day,uGbV8UCANcNdhpyT,['joyful activation'],{'joyful activation': 1.0},{'joyful activation': 100.0},pop,indie pop,
2SPEg45ZaUFJCg9GwNmRvw,2018-10-19,day,pRjV2I3koh2GmoAb,['joyful activation'],{'joyful activation': 1.0},{'joyful activation': 100.0},reggae,reggae,
50Jd7tX7dMu79Oknn7sXSW,2010-10-26,day,dgzCcQqIrWGszCjw,"['tenderness', 'nostalgia']","{'tenderness': 0.5, 'nostalgia': 0.5}","{'tenderness': 50.0, 'nostalgia': 50.0}",jazz,easy listening,
7c0tqRk43Y0QXTOYZ5lnkA,2014-09-02,day,oI9VXFdQPIF42UQL,['transcendence'],{'transcendence': 1.0},{'transcendence': 25.0},reggae,reggae,
50LJbIrbgHDcKnzCx8oyNg,2008-03-17,day,c0IT7soCV8qPXZjV,"['wonder', 'transcendence', 'peacefulness', 'sadness']","{'wonder': 0.2, 'transcendence': 0.2, 'peacefulness': 0.4, 'sadness': 0.2}","{'wonder': 50.0, 'transcendence': 50.0, 'peacefulness': 100.0, 'sadness': 50.0}",jazz,easy listening,
36z1LIYCGN1wS0brEVMN7c,2013-05-28,day,7dCRdJI812Xq9MgK,['joyful activation'],{'joyful activation': 1.0},{'joyful activation': 200.0},pop,indie pop,
7iI5UbldKfxHjPbMgVwxfc,2014-05-27,day,WK3RuY0uVJiTusE7,['transcendence'],{'transcendence': 1.0},{'transcendence': 100.0},pop,vocal,
6ABA4JjAG3HAFirRyfRaUV,1980-01-07,day,IIaxsoFj38Au4mEE,['joyful activation'],{'joyful activation': 1.0},{'joyful activation': 100.0},funk / soul,disco,
34sDORmUoRqa4gO9awaryf,2014-05-05,day,SYjpg5byy5N4yJ62,['tenderness'],{'tenderness': 1.0},{'tenderness': 50.0},jazz,easy listening,
3vJJqxkNLVHibD3gRttOHP,1986-01-01,day,KD4rOmKgw8eNyHyp,"['transcendence', 'nostalgia']","{'transcendence': 0.5, 'nostalgia': 0.5}","{'transcendence': 15.0, 'nostalgia': 15.0}",jazz,easy listening,
36A8c6kH2NaTnPUzR0wIBs,2006-01-01,day,AxIQtlPsNHLzanpf,['transcendence'],{'transcendence': 1.0},{'transcendence': 34.0},jazz,easy listening,
5Spsu9HaYhflfAinaP8uk5,2011-07-08,day,83QFETIVZb6103cZ,['peacefulness'],{'peacefulness': 1.0},{'peacefulness': 100.0},reggae,reggae,
1Fzm9s6Fh1Eumj5tU4q20m,2007-06-26,day,f5kxGbFFD4CnPTUl,"['wonder', 'peacefulness']","{'wonder': 0.5, 'peacefulness': 0.5}","{'wonder': 34.0, 'peacefulness': 34.0}",jazz,easy listening,
2koS4fD3kzizdnzWzyrxyT,1983-01-01,day,3Kqi2XtEl3amaqf6,['transcendence'],{'transcendence': 1.0},{'transcendence': 100.0},jazz,bossa nova,
2EA9WNdOrGuJTXSRrz69Im,2008-10-28,day,KICuYzZvDLs4fDYx,['nostalgia'],{'nostalgia': 1.0},{'nostalgia': 13.0},pop,indie pop,
2QY6M9htOiT952DAGgo55m,2011-07-25,day,OxYxVHW0BeH9raBa,"['transcendence', 'nostalgia', 'peacefulness', 'joyful activation']","{'transcendence': 0.7272727272727273, 'nostalgia': 0.09090909090909091, 'peacefulness': 0.09090909090909091, 'joyful activation': 0.09090909090909091}","{'transcendence': 160.0, 'nostalgia': 20.0, 'peacefulness': 20.0, 'joyful activation': 20.0}",pop,indie pop,
5deNWRbj6a29vYokcQmMm8,2007-09-03,day,nhrqt0VfIS5mkuOr,['peacefulness'],{'peacefulness': 1.0},{'peacefulness': 8.0},jazz,bossa nova,
7pq5vONxrAy8T773nhkiW3,2013-05-13,day,JfUpqca9W6TDdw96,"['wonder', 'transcendence', 'peacefulness', 'joyful activation']","{'wonder': 0.5952380952380952, 'transcendence': 0.20238095238095238, 'peacefulness': 0.10119047619047619, 'joyful activation': 0.10119047619047619}","{'wonder': 100.0, 'transcendence': 34.0, 'peacefulness': 17.0, 'joyful activation': 17.0}",pop,indie pop,
